Date,ProductName,MonthlySales
2019-01-02,smartphones,161575.99849298398
2019-01-04,smartphones,144569.6182984942
2019-01-04,smartphones,169283.44408818905
2019-01-06,smartphones,128787.81376435913
2019-01-08,smartphones,109341.88481119789
2019-01-10,smartphones,98440.86136008642
2019-01-11,smartphones,135846.28902314504
2019-01-11,smartphones,93346.39801400366
2019-01-12,smartphones,44979.71235299454
2019-01-15,smartphones,135203.40199531952
2019-01-17,smartphones,67525.12089999094
2019-01-17,smartphones,77170.4890851908
2019-01-20,smartphones,27550.89827039352
2019-01-27,smartphones,101464.9935430216
2019-01-28,smartphones,91860.05567449456
2019-01-31,smartphones,52441.44378907074
2019-02-05,smartphones,165567.19270813916
2019-02-06,smartphones,142881.16620535954
2019-02-06,smartphones,166017.2018783311
2019-02-06,smartphones,142347.1449451174
2019-02-07,smartphones,21568.280560071657
2019-02-11,smartphones,189765.49981402664
2019-02-12,smartphones,37404.603402330526
2019-02-15,smartphones,188228.8401268431
2019-02-15,smartphones,129341.91182311924
2019-02-20,smartphones,102929.20431192449
2019-02-22,smartphones,102580.33865293462
2019-02-26,smartphones,33025.39808531929
2019-02-28,smartphones,95516.76931652728
2019-03-01,smartphones,70189.32116891455
2019-03-05,smartphones,81392.13779524738
2019-03-07,smartphones,160968.33212428025
2019-03-09,smartphones,92977.57696521508
2019-03-11,smartphones,150240.37144850713
2019-03-12,smartphones,66738.68085510355
2019-03-12,smartphones,192982.53307249275
2019-03-12,smartphones,129188.38410583981
2019-03-14,smartphones,48347.08131311714
2019-03-17,smartphones,105087.74449596381
2019-03-17,smartphones,115560.15640991088
2019-03-20,smartphones,157903.43806674198
2019-03-21,smartphones,129091.94198348932
2019-03-22,smartphones,36155.16570137329
2019-03-26,smartphones,122491.58714019887
2019-03-28,smartphones,122903.39986221844
2019-03-30,smartphones,136635.46849268978
2019-03-31,smartphones,50864.53860678742
2019-04-01,smartphones,113612.1718432527
2019-04-02,smartphones,68180.44863910016
2019-04-05,smartphones,138896.07432172055
2019-04-06,smartphones,178750.7252073339
2019-04-06,smartphones,125468.32993267558
2019-04-07,smartphones,168987.05762601775
2019-04-07,smartphones,60625.7436155566
2019-04-08,smartphones,69533.49230976487
2019-04-08,smartphones,121115.0947050032
2019-04-12,smartphones,-24011.84474031699
2019-04-12,smartphones,51748.75455136726
2019-04-15,smartphones,90170.1593266902
2019-04-16,smartphones,24012.230767830435
2019-04-16,smartphones,34239.7253753609
2019-04-22,smartphones,120280.42337280676
2019-04-22,smartphones,67956.97165430349
2019-04-29,smartphones,46928.95004856181
2019-04-30,smartphones,106552.70862487493
2019-04-30,smartphones,20989.873922291277
2019-05-01,smartphones,162071.9324236806
2019-05-03,smartphones,56214.31524816359
2019-05-04,smartphones,67931.13460162858
2019-05-05,smartphones,33576.125580356966
2019-05-05,smartphones,102017.98098906464
2019-05-06,smartphones,-25035.418222745167
2019-05-08,smartphones,160334.0249733622
2019-05-09,smartphones,101216.85751360904
2019-05-09,smartphones,127231.64922863909
2019-05-10,smartphones,172147.59440717413
2019-05-14,smartphones,66383.6541683662
2019-05-14,smartphones,76841.43502375239
2019-05-18,smartphones,75589.09002559482
2019-05-22,smartphones,77106.50230135235
2019-05-24,smartphones,90057.82452797331
2019-05-26,smartphones,174384.8718458532
2019-05-27,smartphones,61794.86152336167
2019-05-29,smartphones,178678.02409778928
2019-05-30,smartphones,100029.3163682429
2019-06-01,smartphones,137267.64062655336
2019-06-01,smartphones,77324.41411930523
2019-06-04,smartphones,-4114.277159149675
2019-06-13,smartphones,121899.98390271021
2019-06-13,smartphones,111444.21446243109
2019-06-13,smartphones,98496.47114386997
2019-06-17,smartphones,100306.00089564935
2019-06-20,smartphones,13110.816133115246
2019-06-21,smartphones,91115.66145526267
2019-06-21,smartphones,116440.46090492082
2019-06-22,smartphones,24577.85567260283
2019-06-22,smartphones,90852.84018939339
2019-06-22,smartphones,77144.51423832707
2019-06-23,smartphones,70368.87913879092
2019-06-24,smartphones,3557.83671726837
2019-06-26,smartphones,66707.8822432417
2019-06-26,smartphones,36540.58109447803
2019-06-27,smartphones,38129.8033795761
2019-06-28,smartphones,120478.46273774563
2019-07-02,smartphones,136064.18564117624
2019-07-03,smartphones,29877.935046860584
2019-07-05,smartphones,26654.393584492365
2019-07-05,smartphones,34584.07936572211
2019-07-15,smartphones,101067.96045443167
2019-07-16,smartphones,155617.07443571652
2019-07-17,smartphones,107601.5782480866
2019-07-18,smartphones,68321.9890410623
2019-07-19,smartphones,112546.10490764046
2019-07-21,smartphones,36108.21635690497
2019-07-23,smartphones,80845.32126462727
2019-07-25,smartphones,52331.353644989365
2019-07-31,smartphones,184131.01906923155
2019-08-01,smartphones,43499.05021799455
2019-08-02,smartphones,154642.9469771525
2019-08-02,smartphones,94926.5134359676
2019-08-04,smartphones,29145.020625762852
2019-08-05,smartphones,11149.976400132266
2019-08-05,smartphones,122224.71025831085
2019-08-09,smartphones,35918.16814924532
2019-08-12,smartphones,143543.43398530362
2019-08-12,smartphones,34266.63204428003
2019-08-13,smartphones,24131.69448461536
2019-08-14,smartphones,118799.26839338736
2019-08-16,smartphones,178230.26759709424
2019-08-17,smartphones,143275.75996964623
2019-08-17,smartphones,59528.70106350082
2019-08-18,smartphones,116092.76785605733
2019-08-21,smartphones,121897.12234065859
2019-08-23,smartphones,116223.1889201689
2019-08-28,smartphones,106540.4348680339
2019-08-31,smartphones,121122.47189943794
2019-09-01,smartphones,87767.48134158387
2019-09-02,smartphones,68531.23806331982
2019-09-04,smartphones,38827.96567266478
2019-09-05,smartphones,43096.5635585324
2019-09-05,smartphones,60151.16180654723
2019-09-06,smartphones,122179.89205002693
2019-09-06,smartphones,155696.8689017863
2019-09-10,smartphones,150412.92264707971
2019-09-11,smartphones,11540.1839686114
2019-09-12,smartphones,56219.31364736545
2019-09-14,smartphones,72035.77159709914
2019-09-15,smartphones,-563.8943153140806
2019-09-17,smartphones,176520.66201599405
2019-09-18,smartphones,91940.16085160774
2019-09-19,smartphones,80037.43316016239
2019-09-19,smartphones,168594.8768436689
2019-09-20,smartphones,83890.52641661822
2019-09-21,smartphones,118180.43049032887
2019-09-27,smartphones,72678.54163264109
2019-09-29,smartphones,96699.14891029781
2019-09-29,smartphones,200324.13654577918
2019-09-30,smartphones,91470.09862983153
2019-10-01,smartphones,93168.48814032483
2019-10-06,smartphones,84458.11198325723
2019-10-08,smartphones,29825.023258695597
2019-10-09,smartphones,209266.001617851
2019-10-15,smartphones,120960.9168764777
2019-10-18,smartphones,191623.29141780242
2019-10-18,smartphones,196936.70092313984
2019-10-24,smartphones,110413.5367152608
2019-10-26,smartphones,58327.36752467729
2019-10-28,smartphones,146294.00422821657
2019-10-29,smartphones,201067.72350247754
2019-10-29,smartphones,-9427.459969282543
2019-10-30,smartphones,75335.17770772986
2019-10-30,smartphones,85363.6747979502
2019-10-31,smartphones,137418.19007486294
2019-11-01,smartphones,91986.45918061433
2019-11-02,smartphones,51631.309105593
2019-11-04,smartphones,20515.473941713775
2019-11-06,smartphones,69194.62095575276
2019-11-08,smartphones,34976.06942469193
2019-11-09,smartphones,165643.29025177387
2019-11-10,smartphones,246730.81393398644
2019-11-12,smartphones,98354.19709348747
2019-11-14,smartphones,105395.80603305386
2019-11-18,smartphones,110908.4223120473
2019-11-21,smartphones,126070.51594308179
2019-11-22,smartphones,120884.83157459709
2019-11-22,smartphones,6531.858720772014
2019-11-24,smartphones,40162.47640856914
2019-11-26,smartphones,89391.60233658565
2019-11-30,smartphones,77026.98633725551
2019-12-01,smartphones,78293.49889431233
2019-12-03,smartphones,50239.748435537666
2019-12-04,smartphones,65485.80035818153
2019-12-04,smartphones,98926.31463520815
2019-12-07,smartphones,90916.2166269026
2019-12-07,smartphones,121696.9118672742
2019-12-08,smartphones,139223.23640444974
2019-12-08,smartphones,49561.85973757726
2019-12-13,smartphones,238787.87757201685
2019-12-16,smartphones,183792.95418984327
2019-12-20,smartphones,134308.6922343352
2019-12-22,smartphones,83141.27784332768
2019-12-23,smartphones,226771.702660648
2019-12-24,smartphones,42438.85676859925
2019-12-27,smartphones,51459.422636014555
2019-12-27,smartphones,144369.7209941649
2019-12-28,smartphones,39353.463876374786
2019-12-30,smartphones,114004.49857981184
2019-12-30,smartphones,87496.99295091224
2020-01-01,smartphones,134192.4588606411
2020-01-03,smartphones,87360.3826476307
2020-01-03,smartphones,-20712.028455499625
2020-01-04,smartphones,23703.462459536033
2020-01-06,smartphones,166968.24579043165
2020-01-07,smartphones,85477.69048215623
2020-01-07,smartphones,96871.66398236073
2020-01-10,smartphones,56879.754390695554
2020-01-14,smartphones,81918.11736713948
2020-01-16,smartphones,180160.28969597974
2020-01-22,smartphones,104427.46544971927
2020-01-23,smartphones,112841.85159107149
2020-01-23,smartphones,148891.93251685664
2020-01-25,smartphones,53888.763998986804
2020-01-28,smartphones,115720.8853480323
2020-02-01,smartphones,102594.28174760618
2020-02-02,smartphones,11226.066801279638
2020-02-04,smartphones,93241.98345406345
2020-02-07,smartphones,163326.1353038027
2020-02-08,smartphones,216428.75634864208
2020-02-12,smartphones,131630.58734218017
2020-02-13,smartphones,193493.70844100247
2020-02-13,smartphones,78591.77399923049
2020-02-14,smartphones,121523.51855468439
2020-02-14,smartphones,194049.16120385405
2020-02-15,smartphones,80378.11122126348
2020-02-20,smartphones,157396.52517728857
2020-02-22,smartphones,122874.18141320832
2020-02-22,smartphones,74438.37710303259
2020-02-25,smartphones,143483.55777646435
2020-02-26,smartphones,48258.64421596697
2020-03-05,smartphones,16660.67582037505
2020-03-05,smartphones,89638.84518238153
2020-03-07,smartphones,21400.586594501543
2020-03-09,smartphones,39215.538475756905
2020-03-10,smartphones,76529.50208499686
2020-03-10,smartphones,166442.4109912581
2020-03-11,smartphones,63886.19881340885
2020-03-12,smartphones,63897.05092153955
2020-03-12,smartphones,27752.359394288753
2020-03-13,smartphones,10939.876211947043
2020-03-14,smartphones,86908.66469990084
2020-03-17,smartphones,159230.30229888076
2020-03-17,smartphones,53967.05142525787
2020-03-18,smartphones,104842.0634350412
2020-03-18,smartphones,144292.13469629668
2020-03-18,smartphones,40907.4645450951
2020-03-19,smartphones,78234.59629456993
2020-03-22,smartphones,65885.13324415225
2020-03-28,smartphones,66942.2847606309
2020-04-01,smartphones,118508.25348050547
2020-04-03,smartphones,64605.53501374798
2020-04-06,smartphones,59817.25825777551
2020-04-08,smartphones,90682.24172212217
2020-04-10,smartphones,158365.4135084006
2020-04-11,smartphones,223100.172282022
2020-04-12,smartphones,135879.7829904654
2020-04-13,smartphones,-5830.642797903211
2020-04-13,smartphones,53371.374725925925
2020-04-14,smartphones,173747.24307283884
2020-04-17,smartphones,94463.9727944461
2020-04-18,smartphones,85281.71830770187
2020-04-21,smartphones,112723.30245489853
2020-04-21,smartphones,140780.78322391392
2020-04-21,smartphones,101740.00875406266
2020-04-21,smartphones,118232.97873387078
2020-04-22,smartphones,102031.4421068437
2020-04-22,smartphones,52352.302371539845
2020-04-26,smartphones,126.22686794814763
2020-04-26,smartphones,46086.98372181774
2020-04-27,smartphones,179961.82854086685
2020-04-30,smartphones,24549.807908163555
2020-04-30,smartphones,106768.29482262212
2020-04-30,smartphones,1538.060053944349
2020-05-01,smartphones,-41441.95792627204
2020-05-03,smartphones,140093.42875637652
2020-05-03,smartphones,107450.12213114755
2020-05-03,smartphones,97373.06196729343
2020-05-05,smartphones,110799.2950770111
2020-05-07,smartphones,73003.44196703106
2020-05-09,smartphones,128951.92207097715
2020-05-10,smartphones,13088.857523944915
2020-05-11,smartphones,85807.55296159694
2020-05-13,smartphones,131444.1363801923
2020-05-14,smartphones,169700.3295380013
2020-05-16,smartphones,107275.22225342046
2020-05-16,smartphones,171244.82207513897
2020-05-17,smartphones,130291.5482795662
2020-05-18,smartphones,85410.05696864294
2020-05-18,smartphones,145396.88880422083
2020-05-18,smartphones,55473.96634474585
2020-05-18,smartphones,119704.15798425551
2020-05-21,smartphones,104480.21116571083
2020-05-22,smartphones,76230.00470039726
2020-05-23,smartphones,150915.03510338164
2020-05-23,smartphones,124510.23381112913
2020-05-24,smartphones,105606.28953861051
2020-05-24,smartphones,124666.50887201472
2020-05-26,smartphones,113528.74536176838
2020-05-28,smartphones,65356.95964047608
2020-05-29,smartphones,195254.14631888102
2020-06-02,smartphones,92170.8510565347
2020-06-03,smartphones,161611.84987817955
2020-06-05,smartphones,250662.69635775252
2020-06-06,smartphones,141742.51064086088
2020-06-09,smartphones,95642.97120513367
2020-06-15,smartphones,175679.94362334505
2020-06-22,smartphones,117758.05558427052
2020-06-22,smartphones,164531.32837833196
2020-06-23,smartphones,182651.76690628313
2020-06-24,smartphones,97870.21657930032
2020-06-27,smartphones,166342.20797166487
2020-06-28,smartphones,48804.80319514126
2020-07-02,smartphones,35185.468156786934
2020-07-02,smartphones,42764.8768659921
2020-07-03,smartphones,61589.385947670555
2020-07-04,smartphones,68517.50384954581
2020-07-05,smartphones,100854.18576740277
2020-07-07,smartphones,39769.83532099196
2020-07-10,smartphones,75729.6554038463
2020-07-12,smartphones,59957.810443404785
2020-07-12,smartphones,173838.03182954862
2020-07-14,smartphones,61815.76039818254
2020-07-14,smartphones,47540.74728367828
2020-07-15,smartphones,91891.09937559739
2020-07-16,smartphones,90936.40431517255
2020-07-19,smartphones,43849.21749459811
2020-07-20,smartphones,147926.61483195372
2020-07-21,smartphones,108759.87922376125
2020-07-28,smartphones,83003.47516476359
2020-07-28,smartphones,97345.76452078573
2020-07-28,smartphones,159203.82744864642
2020-07-29,smartphones,164515.86479789962
2020-07-29,smartphones,113898.00970108443
2020-07-31,smartphones,50355.175250334185
2020-08-02,smartphones,98931.33668585066
2020-08-03,smartphones,49749.74415135491
2020-08-05,smartphones,64745.895914903944
2020-08-06,smartphones,145103.74717700065
2020-08-06,smartphones,86149.37392601813
2020-08-06,smartphones,3510.570100147126
2020-08-07,smartphones,69781.11956552042
2020-08-07,smartphones,100366.60506433893
2020-08-09,smartphones,67862.97468429015
2020-08-12,smartphones,8705.26273633976
2020-08-13,smartphones,63703.323912223794
2020-08-14,smartphones,22797.552651390826
2020-08-15,smartphones,121395.49502162995
2020-08-18,smartphones,76207.30917644502
2020-08-19,smartphones,112273.75655135613
2020-08-23,smartphones,125211.24794814315
2020-08-23,smartphones,122236.23486254296
2020-08-24,smartphones,78659.9562338436
2020-08-25,smartphones,153908.01219899207
2020-08-25,smartphones,131298.05147680079
2020-08-28,smartphones,101763.5406090398
2020-08-28,smartphones,128908.39025786651
2020-08-31,smartphones,136520.8545612246
2020-08-31,smartphones,136406.48326751438
2020-09-01,smartphones,107737.46338948549
2020-09-04,smartphones,109457.42687441937
2020-09-07,smartphones,110394.38696184532
2020-09-10,smartphones,67560.31653107308
2020-09-10,smartphones,71734.2982116136
2020-09-13,smartphones,141134.5968250048
